選手名,チーム,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,MVP
陽 岱鋼,日本ハム,144,658,574,162,18,67,47,69,9,142,4,9,0
鳥谷 敬,阪神,144,643,532,150,10,65,15,104,4,65,1,12,0
長野 久義,巨人,144,642,590,166,19,65,14,48,1,101,3,6,0
栗山 巧,西武,144,637,527,147,12,73,6,99,6,96,1,8,0
長谷川 勇也,ソフトバンク,144,637,580,198,19,83,12,47,5,111,0,5,0
秋山 翔吾,西武,144,634,564,152,13,58,13,49,7,89,12,8,0
内川 聖一,ソフトバンク,144,633,570,180,19,92,1,46,12,47,0,23,0
菊池 涼介,広島,141,633,538,133,11,57,16,38,2,121,50,4,0
松田 宣浩,ソフトバンク,144,626,584,163,20,90,13,27,6,124,2,11,0
ヘルマン,西武,144,623,518,165,4,55,40,85,7,87,8,20,0
坂本 勇人,巨人,144,620,554,147,12,54,24,55,4,87,4,11,0
浅村 栄斗,西武,144,620,543,172,27,110,14,61,5,88,7,9,0
マートン,阪神,143,613,566,178,19,85,6,42,1,81,0,25,0
ジョーンズ,楽天,143,604,478,116,26,94,4,105,15,164,0,15,0
糸井 嘉男,オリックス,141,601,524,157,17,61,33,66,8,93,0,6,0
丸 佳浩,広島,140,601,506,138,14,58,29,85,1,103,5,6,0
今宮 健太,ソフトバンク,143,600,491,124,5,43,10,35,9,94,62,7,0
村田 修一,巨人,144,595,519,164,25,87,1,50,13,74,6,11,0
李 大浩,オリックス,141,593,521,158,24,91,0,64,6,80,0,20,0
マギー,楽天,144,590,513,150,28,93,2,70,2,119,0,12,0
バルディリス,オリックス,142,585,512,148,17,91,1,54,15,67,0,17,0
和田 一浩,中日,142,581,495,136,18,76,2,77,2,63,0,26,0
アブレイユ,日本ハム,138,571,504,143,31,95,0,57,4,132,0,14,0
井口 資仁,ロッテ,135,566,485,144,23,83,4,67,10,81,0,13,0
小谷野 栄一,日本ハム,139,559,512,141,3,46,2,26,3,77,8,9,0
根元 俊一,ロッテ,123,559,485,127,8,45,9,52,5,85,14,7,0
ブランコ,DeNA,134,558,483,161,41,136,1,62,9,118,0,10,0
大島 洋平,中日,140,555,499,124,3,27,19,37,6,69,10,2,0
鈴木 大地,ロッテ,144,551,481,127,5,50,2,38,12,66,14,8,0
今江 敏晃,ロッテ,132,551,508,165,10,74,5,26,4,45,2,12,0
西岡 剛,阪神,122,549,497,144,4,44,11,45,1,65,0,6,0
新井 貴浩,阪神,140,548,476,127,15,70,2,60,5,110,0,17,0
バレンティン,ヤクルト,130,547,439,145,60,131,0,103,1,105,0,14,1
藤田 一也,楽天,128,536,466,128,1,48,3,21,12,43,33,7,0
阿部 慎之助,巨人,135,529,422,125,32,91,0,86,15,59,0,8,0
銀次,楽天,131,525,482,153,4,54,3,36,2,44,1,14,0
角中 勝也,ロッテ,125,525,462,133,5,43,10,50,4,63,6,3,0
石川 雄洋,DeNA,119,523,459,126,5,41,5,51,8,76,5,6,0
嶋 基宏,楽天,134,507,447,115,4,48,3,39,2,92,16,14,0
松井 稼頭央,楽天,125,497,448,111,11,58,1,40,3,85,2,4,0
大引 啓次,日本ハム,120,492,402,107,3,32,13,50,8,86,32,9,0
中村 晃,ソフトバンク,109,492,427,131,5,44,7,54,7,59,2,12,0
聖澤 諒,楽天,120,491,433,123,2,40,21,44,5,100,9,3,0
荒波 翔,DeNA,126,490,445,115,2,30,19,37,2,96,4,9,0
伊藤 光,オリックス,137,475,410,117,3,40,4,24,3,84,35,10,0
中村 紀洋,DeNA,122,473,431,121,14,61,1,32,5,66,0,20,0
本多 雄一,ソフトバンク,120,471,406,115,2,37,22,42,2,62,19,1,0
安達 了一,オリックス,131,470,395,93,5,30,16,27,9,80,38,4,0
炭谷 銀仁朗,西武,141,468,413,89,5,43,1,30,4,62,19,14,0
クラーク,中日,132,467,407,97,25,70,0,49,7,130,0,7,0
ロペス,巨人,121,467,429,130,18,55,1,25,5,57,5,12,0
中田 翔,日本ハム,108,459,407,124,28,73,1,45,6,77,0,11,0
森野 将彦,中日,134,457,399,114,16,51,1,54,0,61,2,10,0
大和,阪神,104,454,384,105,0,21,19,27,8,40,35,2,0
