選手名,チーム,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,MVP
田中 広輔,広島,143,679,581,154,13,39,28,77,17,119,3,1,0
秋山 翔吾,西武,143,671,578,171,11,62,18,77,10,103,0,2,0
大島 洋平,中日,143,656,599,175,3,27,26,46,6,69,4,3,0
丸 佳浩,広島,143,652,557,162,20,90,23,84,7,107,1,9,0
菊池 涼介,広島,141,640,574,181,13,56,13,40,0,106,23,3,0
田中 賢介,日本ハム,143,626,541,147,2,53,22,69,9,56,3,4,0
中田 翔,日本ハム,141,624,569,142,25,110,2,47,3,126,0,14,0
長野 久義,巨人,143,618,576,163,11,42,8,33,5,78,1,7,0
糸井 嘉男,オリックス,143,616,532,163,17,70,53,75,7,84,0,13,0
中村 晃,ソフトバンク,143,612,488,140,7,50,6,99,12,53,9,8,0
浅村 栄斗,西武,143,611,557,172,24,82,8,38,7,108,3,18,0
西野 真弘,オリックス,143,610,538,142,2,33,16,56,2,55,13,7,0
松田 宣浩,ソフトバンク,143,609,548,142,27,85,6,48,8,141,0,14,0
角中 勝也,ロッテ,143,607,525,178,8,69,12,68,6,64,2,8,0
坂口 智隆,ヤクルト,141,607,526,155,0,39,7,63,8,66,5,5,0
内川 聖一,ソフトバンク,141,605,556,169,18,106,3,38,2,53,0,27,0
中島 卓也,日本ハム,143,600,473,115,0,28,23,63,1,117,62,5,0
レアード,日本ハム,143,598,547,144,39,97,0,44,3,138,0,16,0
西川 遥輝,日本ハム,138,593,493,155,5,43,41,73,3,113,22,0,0
今宮 健太,ソフトバンク,137,590,497,122,10,56,8,47,3,86,38,7,0
山田 哲人,ヤクルト,133,590,481,146,38,102,30,97,8,101,0,16,0
ウィーラー,楽天,140,589,517,137,27,88,2,58,12,123,0,10,0
鈴木 大地,ロッテ,143,583,501,143,6,61,3,50,9,56,16,9,0
メヒア,西武,137,583,511,129,35,103,1,59,6,148,0,15,0
村田 修一,巨人,143,576,529,160,25,81,1,38,5,83,2,21,0
坂本 勇人,巨人,137,576,488,168,23,75,13,81,0,67,1,6,0
デスパイネ,ロッテ,134,570,496,139,24,92,0,64,3,89,0,25,0
栗山 巧,西武,135,569,477,133,3,41,0,83,6,87,0,9,0
倉本 寿彦,DeNA,141,566,534,157,1,38,2,22,2,98,5,13,0
筒香 嘉智,DeNA,133,561,469,151,44,110,0,87,3,105,0,6,0
陽 岱鋼,日本ハム,130,555,495,145,14,61,5,42,10,121,7,10,0
ゴメス,阪神,139,554,498,127,22,79,2,48,5,130,0,13,0
バレンティン,ヤクルト,132,537,457,123,31,96,0,72,3,116,0,19,0
柳田 悠岐,ソフトバンク,120,536,428,131,18,73,23,100,8,97,0,8,0
鳥谷 敬,阪神,143,533,449,106,7,36,13,75,2,80,1,12,0
髙山 俊,阪神,134,530,494,136,8,65,5,27,4,109,2,8,0
鈴木 誠也,広島,129,528,466,156,29,95,16,53,3,79,3,10,0
福留 孝介,阪神,131,523,453,141,11,59,0,61,3,78,0,6,0
桑原 将志,DeNA,133,522,462,131,11,49,19,38,14,93,8,5,0
金子 侑司,西武,129,520,460,122,1,33,53,40,6,69,13,5,0
ロペス,DeNA,123,518,483,127,34,95,0,24,4,75,0,12,0
新井 貴浩,広島,132,513,454,136,19,101,0,54,1,101,0,12,1
Ｔ－岡田,オリックス,123,513,454,129,20,76,5,47,7,105,0,12,0
堂上 直倫,中日,131,507,456,116,6,46,1,27,2,69,20,14,0
銀次,楽天,125,497,424,116,2,43,1,61,5,49,4,20,0
平田 良介,中日,118,494,416,103,14,73,4,72,2,89,0,5,0
安達 了一,オリックス,118,488,403,110,1,34,6,42,4,53,35,4,0
岡島 豪郎,楽天,127,485,420,106,6,35,7,46,10,49,6,4,0
茂木 栄五郎,楽天,117,481,424,118,7,40,11,30,4,95,21,8,0
ビシエド,中日,119,471,416,114,22,68,1,44,8,68,0,13,0
ギャレット,巨人,123,465,422,109,24,68,0,39,4,106,0,10,0
小林 誠司,巨人,129,458,398,81,4,35,2,36,4,76,19,10,0
川端 慎吾,ヤクルト,103,458,420,127,1,32,3,34,1,31,1,13,0
梶谷 隆幸,DeNA,107,450,396,108,18,56,26,49,4,110,1,2,0
藤田 一也,楽天,120,449,408,108,0,46,1,19,1,44,18,7,0
